id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
2021-1130649;2021-01-27;1;Vente;297000.00;11;;"RUE MAGNEVAL";4430;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AM0049;;;32;;46;59.16;;;;;;;2;2;Appartement;60.00;3;;;;;;4.8359610;45.7730310;000AM
2021-1130664;2021-02-03;1;Vente;136000.00;14;;"RUE BURDEAU";1155;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AP0015;;;13;16.37;;;;;;;;;1;2;Appartement;20.00;1;;;;;;4.8311100;45.7700090;000AP
2021-1130665;2021-02-03;1;Vente;174000.00;14;;"RUE BURDEAU";1155;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AP0015;;;7;22.71;;;;;;;;;1;2;Appartement;24.00;1;;;;;;4.8311100;45.7700090;000AP
2021-1130689;2021-02-05;1;Vente;276250.00;34;;"RUE BURDEAU";1155;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AP0067;;;14;35.00;;;;;;;;;1;2;Appartement;22.00;1;;;;;;4.8337930;45.7701110;000AP
2021-1130692;2021-01-28;1;Vente;175265.00;8;;"RUE PAUL CHENAVARD";5275;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0173;;;13;30.20;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";30.00;0;;;;;;4.8327740;45.7665220;000AT
2021-1130693;2021-01-28;1;Vente;154650.00;8;;"RUE PAUL CHENAVARD";5275;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0173;;;10;24.10;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";24.00;0;;;;;;4.8327740;45.7665220;000AT
2021-1130722;2021-02-04;1;Vente;119896.00;8;;"RUE PAUL CHENAVARD";5275;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0173;;;9;17.10;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";17.00;0;;;;;;4.8327740;45.7665220;000AT
2021-1130725;2021-02-01;1;Vente;583900.00;18;;"RUE JOSEPH SERLIN";3920;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AS0027;;;31;119.39;83;;;;;;;;2;2;Appartement;115.00;4;;;;;;4.8371820;45.7673850;000AS
2021-1130729;2021-02-09;1;Vente;355450.00;40;;"RUE DU BON-PASTEUR";0980;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AK0093;;;69;;;;;;;;;;1;2;Appartement;54.00;2;;;;;;4.8313880;45.7724420;000AK
2021-1130737;2021-01-18;1;Vente;530510.00;16;;"RUE RENE LEYNAUD";5990;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AP0070;;;24;;;;;;;;;;1;2;Appartement;100.00;3;;;;;;4.8335220;45.7696330;000AP
